trial,service,fault_type,detected,mttd_s,healed,mttr_s,timestamp
4,nlu_service,error_burst,True,11.63,True,0.01,2026-04-09T19:27:19.717836+00:00
4,nlu_service,mixed,True,9.94,True,-1.41,2026-04-09T19:27:36.247639+00:00
4,nlu_service,slow_degradation,True,11.74,True,0.01,2026-04-09T19:27:50.480348+00:00
4,nlu_service,memory_pressure,True,10.68,True,0.01,2026-04-09T19:28:04.663608+00:00
4,responder_service,high_latency,True,8.78,True,0.02,2026-04-09T19:28:18.532176+00:00
4,responder_service,service_error,False,,False,,2026-04-09T19:30:36.823436+00:00
4,responder_service,error_burst,True,9.53,True,0.01,2026-04-09T19:30:47.079132+00:00
4,responder_service,mixed,True,8.89,True,0.01,2026-04-09T19:31:00.779151+00:00
4,responder_service,slow_degradation,True,10.62,True,0.01,2026-04-09T19:31:14.686532+00:00
4,responder_service,memory_pressure,True,9.95,True,0.01,2026-04-09T19:31:29.629873+00:00
5,weather_service,high_latency,True,36.05,True,0.01,2026-04-09T19:34:57.645258+00:00
5,weather_service,service_error,True,37.82,True,0.01,2026-04-09T19:35:39.820309+00:00
5,weather_service,error_burst,True,8.04,True,0.02,2026-04-09T19:35:53.215537+00:00
5,weather_service,mixed,True,10.1,True,0.02,2026-04-09T19:36:06.737366+00:00
5,weather_service,slow_degradation,True,9.09,True,0.01,2026-04-09T19:36:20.297448+00:00
5,weather_service,memory_pressure,True,47.77,True,0.21,2026-04-09T19:37:16.270264+00:00
5,nlu_service,high_latency,True,10.0,True,0.01,2026-04-09T19:37:30.562697+00:00
5,nlu_service,service_error,True,12.66,True,-1.7,2026-04-09T19:37:49.521883+00:00
5,nlu_service,error_burst,True,10.25,True,0.01,2026-04-09T19:38:04.151380+00:00
5,nlu_service,mixed,True,11.59,True,0.01,2026-04-09T19:38:18.670483+00:00
5,nlu_service,slow_degradation,True,10.52,True,0.01,2026-04-09T19:38:33.755750+00:00
5,nlu_service,memory_pressure,True,11.8,True,0.01,2026-04-09T19:38:48.278587+00:00
5,responder_service,high_latency,True,9.51,True,0.01,2026-04-09T19:39:02.266519+00:00
5,responder_service,service_error,True,120.19,True,45.43,2026-04-09T19:41:55.889825+00:00
5,responder_service,error_burst,True,10.27,True,0.02,2026-04-09T19:42:09.849656+00:00
5,responder_service,mixed,True,9.15,True,0.02,2026-04-09T19:42:23.962033+00:00
5,responder_service,slow_degradation,True,9.67,True,0.02,2026-04-09T19:42:38.302487+00:00
5,responder_service,memory_pressure,True,9.53,True,0.01,2026-04-09T19:42:52.147266+00:00
6,weather_service,high_latency,True,26.38,True,0.02,2026-04-09T19:46:15.621799+00:00
6,weather_service,service_error,True,40.51,True,0.64,2026-04-09T19:47:04.779967+00:00
6,weather_service,error_burst,True,7.79,True,2.08,2026-04-09T19:47:22.653738+00:00
6,weather_service,mixed,True,10.81,True,0.01,2026-04-09T19:47:37.050992+00:00
6,weather_service,slow_degradation,True,9.2,True,0.01,2026-04-09T19:47:51.199560+00:00
6,weather_service,memory_pressure,True,10.08,True,0.82,2026-04-09T19:48:10.135318+00:00
6,nlu_service,high_latency,True,126.2,True,0.01,2026-04-09T19:50:19.206393+00:00
6,nlu_service,service_error,True,127.08,True,-1.81,2026-04-09T19:52:32.482136+00:00
6,nlu_service,error_burst,True,125.82,True,-1.97,2026-04-09T19:54:44.335199+00:00
6,nlu_service,mixed,True,9.16,True,-0.58,2026-04-09T19:55:00.932273+00:00
6,nlu_service,slow_degradation,True,10.71,True,0.01,2026-04-09T19:55:14.653967+00:00
6,nlu_service,memory_pressure,True,9.57,True,0.01,2026-04-09T19:55:28.547036+00:00
6,responder_service,high_latency,True,11.22,True,0.01,2026-04-09T19:55:42.780791+00:00
6,responder_service,service_error,False,,False,,2026-04-09T19:57:58.977711+00:00
6,responder_service,error_burst,True,8.24,True,6.2,2026-04-09T19:58:18.422093+00:00
6,responder_service,mixed,True,9.46,True,0.02,2026-04-09T19:58:31.302605+00:00
6,responder_service,slow_degradation,True,8.95,True,0.01,2026-04-09T19:58:44.737708+00:00
6,responder_service,memory_pressure,True,79.5,True,0.01,2026-04-09T20:00:07.385990+00:00
7,weather_service,high_latency,True,8.92,True,0.01,2026-04-09T20:03:20.132457+00:00
7,weather_service,service_error,True,10.3,True,2.24,2026-04-09T20:03:40.671666+00:00
7,weather_service,error_burst,True,96.69,True,2.75,2026-04-09T20:05:28.113669+00:00
7,weather_service,mixed,True,9.68,True,1.28,2026-04-09T20:05:47.067474+00:00
7,weather_service,slow_degradation,True,7.44,True,2.92,2026-04-09T20:06:05.424266+00:00
7,weather_service,memory_pressure,False,,False,,2026-04-09T20:08:20.888480+00:00
7,nlu_service,high_latency,True,126.06,True,0.02,2026-04-09T20:10:26.556266+00:00
7,nlu_service,service_error,True,10.06,True,-1.21,2026-04-09T20:10:43.412497+00:00
7,nlu_service,error_burst,True,11.49,True,0.02,2026-04-09T20:10:57.782730+00:00
7,nlu_service,mixed,True,9.56,True,0.02,2026-04-09T20:11:11.241026+00:00
7,nlu_service,slow_degradation,True,8.51,True,0.01,2026-04-09T20:11:24.796457+00:00
7,nlu_service,memory_pressure,True,11.05,True,0.01,2026-04-09T20:11:39.369667+00:00
7,responder_service,high_latency,True,9.62,True,0.01,2026-04-09T20:11:53.888889+00:00
7,responder_service,service_error,True,119.49,True,1.87,2026-04-09T20:14:03.253362+00:00
7,responder_service,error_burst,True,10.54,True,0.02,2026-04-09T20:14:16.781400+00:00
7,responder_service,mixed,True,9.47,True,0.01,2026-04-09T20:14:30.514793+00:00
7,responder_service,slow_degradation,True,8.46,True,0.02,2026-04-09T20:14:44.323351+00:00
7,responder_service,memory_pressure,True,13.41,True,0.04,2026-04-09T20:15:02.606769+00:00
8,weather_service,high_latency,True,25.48,True,0.02,2026-04-09T20:18:25.355864+00:00
8,weather_service,service_error,True,9.75,True,0.02,2026-04-09T20:18:38.266704+00:00
8,weather_service,error_burst,True,46.14,True,0.01,2026-04-09T20:19:29.532556+00:00
8,weather_service,mixed,True,10.74,True,0.01,2026-04-09T20:19:43.471505+00:00
8,weather_service,slow_degradation,True,9.33,True,0.02,2026-04-09T20:19:57.168227+00:00
8,weather_service,memory_pressure,True,13.52,True,-0.13,2026-04-09T20:20:18.562136+00:00
8,nlu_service,high_latency,False,,False,,2026-04-09T20:22:33.841489+00:00
8,nlu_service,service_error,True,8.95,True,0.02,2026-04-09T20:22:43.801959+00:00
8,nlu_service,error_burst,True,116.18,True,-2.08,2026-04-09T20:24:45.903965+00:00
8,nlu_service,mixed,True,9.41,True,-0.61,2026-04-09T20:25:02.718166+00:00
8,nlu_service,slow_degradation,True,8.38,True,0.01,2026-04-09T20:25:15.585816+00:00
8,nlu_service,memory_pressure,True,9.09,True,0.01,2026-04-09T20:25:28.817993+00:00
8,responder_service,high_latency,True,11.27,True,0.01,2026-04-09T20:25:43.008586+00:00
8,responder_service,service_error,True,11.55,True,1.68,2026-04-09T20:26:04.239680+00:00
8,responder_service,error_burst,True,10.77,True,0.01,2026-04-09T20:26:18.417447+00:00
8,responder_service,mixed,True,10.22,True,0.02,2026-04-09T20:26:33.841054+00:00
